Date,Close
5/8/2015,109.91
5/11/2015,111.92
5/12/2015,112.19
5/13/2015,112.03
5/14/2015,112.32
5/15/2015,112.25
5/18/2015,112.93
5/19/2015,113.22
5/20/2015,112.97
5/21/2015,115.36
5/22/2015,116.07
5/26/2015,113.87
5/27/2015,114.51
5/28/2015,114.2
5/29/2015,114.11
6/1/2015,115.61
6/2/2015,120.3
6/3/2015,119.67
6/4/2015,123.49
6/5/2015,125.98
6/8/2015,124.51
6/9/2015,119.98
6/10/2015,120.86
6/11/2015,120.57
6/12/2015,119.1
6/15/2015,121.63
6/16/2015,122.8
6/17/2015,121.54
6/18/2015,125.78
6/19/2015,124.14
6/22/2015,126.86
6/23/2015,127.26
6/24/2015,127.49
6/25/2015,129.69
6/26/2015,124.2
6/29/2015,119.4
6/30/2015,122.84
7/1/2015,124.31
7/2/2015,122.99
7/6/2015,122.5
7/7/2015,123.51
7/8/2015,120.06
7/9/2015,120.47
7/10/2015,125.86
7/13/2015,125.13
7/14/2015,129.01
7/15/2015,126.45
7/16/2015,126
7/17/2015,124.85
7/20/2015,125.85
7/21/2015,123.91
7/22/2015,120.07
7/23/2015,118.65
7/24/2015,116.87
7/27/2015,112.11
7/28/2015,113.97
7/29/2015,113.9
7/30/2015,114.11
7/31/2015,114.51
8/3/2015,113.23
8/4/2015,112.52
8/5/2015,114.26
8/6/2015,106.17
8/7/2015,105.39
8/10/2015,107.34
8/11/2015,106.43
8/12/2015,103.49
8/13/2015,112.18
8/14/2015,112.13
8/17/2015,114.49
8/18/2015,114.06
8/19/2015,111.95
8/20/2015,102.98
8/21/2015,104.37
8/24/2015,100.23
8/25/2015,100.27
8/26/2015,103.65
8/27/2015,108.26
8/28/2015,109.38
8/31/2015,106.35
9/1/2015,103.31
9/2/2015,105.51
9/3/2015,103.62
9/4/2015,101.75
9/8/2015,106.12
9/9/2015,103.84
9/10/2015,104.85
9/11/2015,105.64
9/14/2015,106.9
9/15/2015,115
9/16/2015,112.37
9/17/2015,113.76
9/18/2015,112.54
9/21/2015,107.3
9/22/2015,103.75
9/23/2015,102.1
9/24/2015,103.53
9/25/2015,99.05
9/28/2015,90.93
9/29/2015,88.78
9/30/2015,91.37
10/1/2015,90.69
10/2/2015,92.27
10/5/2015,91.69
10/6/2015,87.41
10/7/2015,88.41
10/8/2015,87.3
10/9/2015,87.75
10/12/2015,86.79
10/13/2015,85.28
10/14/2015,86.28
10/15/2015,87.68
10/16/2015,90.71
10/19/2015,91.98
10/20/2015,89.22
10/21/2015,85.62
10/22/2015,80.86
10/23/2015,80.05
10/26/2015,79.73
10/27/2015,77.18
10/28/2015,80.82
10/29/2015,80.96
10/30/2015,79.09
11/2/2015,84.28
11/3/2015,85.89
11/4/2015,85.62
11/5/2015,80.68
11/6/2015,81.9
11/9/2015,85.37
11/10/2015,85.61
11/11/2015,82.97
11/12/2015,81.02
11/13/2015,82.71
11/16/2015,82.66
11/17/2015,84.43
11/18/2015,87.72
11/19/2015,82.3
11/20/2015,83.31
11/23/2015,82.87
11/24/2015,84.52
11/25/2015,85.16
11/27/2015,84.9
11/30/2015,86.69
12/1/2015,86.1
12/2/2015,90.96
12/3/2015,85.86
12/4/2015,83.59
12/7/2015,82.24
12/8/2015,85.35
12/9/2015,82.47
12/10/2015,79.7
12/11/2015,75.34
12/14/2015,71.05
12/15/2015,72.47
12/16/2015,69.62
12/17/2015,68.69
12/18/2015,66.79
12/21/2015,66.56
12/22/2015,64.96
12/23/2015,67.1
12/24/2015,69.74
12/28/2015,68.39
12/29/2015,69.45
12/30/2015,69.29
12/31/2015,69.44
1/4/2016,68.46
1/5/2016,68.37
1/6/2016,63.86
1/7/2016,61.81
1/8/2016,59.86
1/11/2016,56.31
1/12/2016,59.68
1/13/2016,56.42
1/14/2016,56.58
1/15/2016,54.39
1/19/2016,54.25
1/20/2016,57.36
1/21/2016,56.32
1/22/2016,55.43
1/25/2016,56.77
1/26/2016,55.04
1/27/2016,55.08
1/28/2016,52.01
1/29/2016,50.16
2/1/2016,50.62
2/2/2016,49.19
2/3/2016,47.89
2/4/2016,48.74
2/5/2016,44.72
2/8/2016,42.63
2/9/2016,40.77
2/10/2016,43.62
2/11/2016,44.2
2/12/2016,44.64
2/16/2016,46.67
2/17/2016,47.79
2/18/2016,44.94
2/19/2016,43.4
2/22/2016,44.82
2/23/2016,42.69
2/24/2016,43.65
2/25/2016,41.84
2/26/2016,41.6
2/29/2016,41.1
3/1/2016,38.2
3/2/2016,40.97
3/3/2016,39.06
3/4/2016,39.9
3/7/2016,39.85
3/8/2016,37.53
3/9/2016,37.2
3/10/2016,36.64
3/11/2016,38.46
3/14/2016,84.71
3/15/2016,79.87
3/16/2016,72.07
3/17/2016,72.18
3/18/2016,72.72
3/21/2016,80.87
3/22/2016,85.24
3/23/2016,80.74
3/24/2016,81.63
3/28/2016,76.99
3/29/2016,74.97
3/30/2016,70.92
3/31/2016,72.15
4/1/2016,74.61
4/4/2016,73.64
4/5/2016,74.43
4/6/2016,79.25
4/7/2016,78.65
4/8/2016,79.69
4/11/2016,79.77
4/12/2016,79.14
4/13/2016,80.38
4/14/2016,81.61
4/15/2016,82.29
4/18/2016,83.74
4/19/2016,82.54
4/20/2016,86.23
4/21/2016,86.36
4/22/2016,84.75
4/25/2016,84.27
4/26/2016,83.79
4/27/2016,82.23
4/28/2016,82.41
4/29/2016,81.02
5/2/2016,82.53
5/3/2016,79.84
5/4/2016,78.54
5/5/2016,77.95
5/6/2016,79
5/9/2016,78.16
5/10/2016,76.68
5/11/2016,77.62
5/12/2016,76.66
5/13/2016,76.95
5/16/2016,79.72
5/17/2016,80.3
5/18/2016,80.36
5/19/2016,80.57
5/20/2016,84.48
5/23/2016,85.14
5/24/2016,86.84
5/25/2016,87.95
5/26/2016,90.17
5/27/2016,90.48
5/31/2016,89.12
6/1/2016,92.17
6/2/2016,93.41
6/3/2016,92.09
6/6/2016,94.19
6/7/2016,90.44
6/8/2016,91.14
6/9/2016,89.45
6/10/2016,89.69
